"id_componente","tipo_componente","codigo","nivel","nome","unidade_responsavel","ch_teorico","ch_pratico","ch_estagio","ch_total","ch_dedicada_docente","ch_ead","cr_max_ead","permite_horario_flexivel","qtd_unidades","procedimentos_avaliacao","equivalencia","pre_requisito","co_requisito","ementa","bibliografia","objetivos","conteudo","competencias_habilidades","referencias","ano_programa","periodo_programa","modalidade","curso_componente"
176273,"DISCIPLINA","IGD0001","G","ESTUDO DE PROBLEMAS BRASILEIROS 1","INSTITUTO DE GEOCIÊNCIAS",15,0,0,15,0,0,20,False,1,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176274,"DISCIPLINA","IGD0002","G","ESTUDO DE PROBLEMAS BRASILEIROS 2","INSTITUTO DE GEOCIÊNCIAS",15,0,0,15,0,0,20,False,1,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176283,"DISCIPLINA","EPR0001","G","PROJETO DE SISTEMAS DE PRODUÇÃO 4","DEPTO ENGENHARIA DE PRODUCAO",0,30,0,30,0,0,20,False,1,NULL,NULL,"((EPR0073))","(EPR0002)","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176284,"DISCIPLINA","EPR0002","G","PLANEJAMENTO E CONTROLE DA PRODUÇÃO","DEPTO ENGENHARIA DE PRODUCAO",60,0,0,60,0,0,20,False,1,NULL,NULL,"((EPR0072))","(EPR0001)","Sistemas de Produção Planejamento Estratégico da Produção Previsão de demanda Controle de materiais e de estoques Planejamento da capacidade Planejamento Agregado da Produção Sales and Operations Planning - S&OP Plano Mestre de Produção (Master Program Schedule - MPS) Planejamento das necessidades de materiais (Material Requirements Planning - MRP I) Manufacturing Resource Planning - MRP II Sistemas de controle da produção: Programação e sequenciamento da produção Just in Time (JIT) como método de Planejamento e Controle da Produção Teoria das Restrições  (Theory of Constraints - TOC).",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176285,"DISCIPLINA","EPR0003","G","TOMADA DE DECISÃO COM ENFOQUE EM ANÁLISE MULTICRITÉRIO","DEPTO ENGENHARIA DE PRODUCAO",30,30,0,60,0,0,20,False,1,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176286,"DISCIPLINA","EPR0004","G","SIMULAÇÃO DE SISTEMAS","DEPTO ENGENHARIA DE PRODUCAO",30,30,0,60,0,0,20,False,1,NULL,NULL,"((EPR0066))",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176287,"DISCIPLINA","EPR0005","G","GESTÃO DE RISCOS","DEPTO ENGENHARIA DE PRODUCAO",60,0,0,60,0,0,20,False,1,NULL,NULL,"((EST0023 E EPR0064))",NULL,"Política Econômica: Impacto das políticas fiscais, monetárias e cambiais na Economia e nas empresas. A LRF e LDO. Certeza, Risco e Incerteza. O Risco das decisões governamentais e seu impacto nas instituições públicas e privadas.   Revisão de Estatística como ferramenta na Gestão de Riscos. Definição de Risco:   História do Risco e suas consequências Risco e Gestão de Riscos. Risco Financeiro: Risco e Regulação Bancária, Acordo da Basiléia Risco de Crédito, Mercado e Liquidez e Risco Operacional VaR - Value at Risk Utilização do CAPM e APT, Modelos de Regressão Linear e   Análise de Eventos. Avaliação de Risco de Projetos: Análise de Sensibilidade e Opções Reais.  Análises de cenários, árvores de decisão e Simulação.  Gestão de Risco, Tomada de decisão sob risco. Mitigação Ferramentas:  Conceitos de Análise Multivariada (Regressão, ANOVA, Componentes Principais, Fatorial e Cluster) Análise Multicritério Conceitos de Análise Envoltória de Dados - DEA.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176288,"DISCIPLINA","LET0001","G","GRAMÁTICA HISTÓRICA COMPARADA DAS LÍNGUAS MODERNAS","DEPTO LÍNGUAS ESTRANGEIRAS E TRADUÇÃO",30,30,0,60,0,0,20,False,1,NULL,NULL,"((LIP0045))",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176289,"DISCIPLINA","IGD0003","G","INTRODUÇÃO À VULCANOLOGIA","INSTITUTO DE GEOCIÊNCIAS",30,0,0,30,0,0,20,False,1,NULL,NULL,"((IGD0036) OU (IGD0244))",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176290,"DISCIPLINA","IQD0001","G","FÍSICO QUÍMICA DE POLÍMEROS","INSTITUTO DE QUÍMICA",60,0,0,60,0,0,20,False,1,NULL,NULL,"((IQD0101) OU (IFD0175))",NULL,"Apresentar a área de Ciência e Tecnologia de Polímeros. Fundamentar os conceitos de macromolécula e polímero. Conhecer os diferentes tipos de estruturas poliméricas de interesse tecnológico. Conhecer as técnicas de caracterizar estruturas e propriedades físico-químicas de polímeros. Fundamentar a correlação estrutura, propriedade e processamento de materiais poliméricos.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176291,"DISCIPLINA","IQD0002","G","SÍNTESE DE POLÍMEROS","INSTITUTO DE QUÍMICA",60,0,0,60,0,0,20,False,1,NULL,NULL,"((IQD0133 E IQD0103))",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176292,"DISCIPLINA","ENF0001","G","CUIDADO EM SITUAÇÕES CIRÚRGICAS","DEPTO ENFERMAGEM",30,0,0,30,0,0,20,False,1,NULL,NULL,"( ( ENF0062 ) OU ( ENF0063 ) OU ( ENF0034 ) OU ( ENF0081 ) ) ",NULL,"Contextualização do processo de cuidar pelo enfermeiro no perioperatório Enfermagem perianestésica Sistematização da Assistência de Enfermagem Perioperatória (SAEP) Cuidado de Enfermagem na fase pré- operatória Cuidado de enfermagem na fase transoperatória Cuidado de enfermagem no fase pós-operatória em unidade de internação cirúrgica Principais síndromes infecciosas que acometem o paciente cirúrgico Segurança do Paciente: Programa Cirurgias Seguras Salvam Vidas - Desafio Global da OMS Métodos de Esterilização e Central de Material e Esterilização (CME).",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176293,"DISCIPLINA","FCE0001","G","FUNDAMENTOS DE CITOGENÉTICA HUMANA","FACULDADE DE CEILÂNDIA",15,15,0,30,0,0,20,False,1,NULL,NULL,"((FCE0204))",NULL,"Estudo da organização molecular da cromatina, estrutura e função do cromossomo eucarioto, ciclo celular e controle do ciclo celular. Enfoca as principais técnicas de cultura de tecidos para a análise citogenética e técnicas de bandamento cromossômico, análise das alterações cromossômicas: Numéricas e Estruturais, alterações nos cromossomos sexuais, mecanismo de inativação do cromossomo X, Imprinting genômico e dissomia uniparental e Sítios frágeis.",NULL,"Bibliografia Básica:
Nussbaum; McInnes & Willard. Thompson & Thompson: Genética Médica, 7ª edição, Ed. Elsevier, 2008.
Sharbel Weidner Maluf; Mariluce Riegel & Colaboradores. Citogenética Humana. Ed ArtMed, 2011
Maria Regina Borges-Osório & Wanice Miriam Robinson. Genética Humana, 2ª edição, Ed. ArtMed, 2001.
Peter Turnpenny & Sian Ellard. Emery: Genética Médica 13ª edção, Ed. Elsevier, 2009.


Bibliografia complementar:
OTTO, P. G.; OTTO, P. A.; FROTA-PESSOA, O. Genética humana e clínica. 2. ed. São Paulo: Roca, 2004.
Eeva Therman & Millard Susman. Cromossomas Humanos 3a edição, Ed SBG, 1996.
Marcelo Guerra. Introdução à Citogenética Geral, Ed. Guanabara, 1988.
Juan-Ramón Lacadena. Citogenética, Ed Complutense, 1996.","Conteúdo Programático:
1. Um pouco de história.
2. Ciclo celular e controle do ciclo celular;
3. Organização molecular da cromatina;
4. Estrutura e função do cromossomo humano;
5. Técnicas de cultura de tecidos;
6. Técnicas de bandamento cromossômico;
7. Variações numéricas e estruturais;
8. Mecanismo de inativação do cromossomo X;
9. Imprinting genômico e dissomia uniparental;
10. Sítios frágeis;
11. Estudo de casos.",NULL,NULL,2020,1,"Presencial",NULL
176294,"DISCIPLINA","FAV0001","G","BIOCOMBUSTÍVEIS","FACULDADE DE AGRONOMIA E MEDICINA VETERINÁRIA",45,15,0,60,0,0,20,False,1,NULL,NULL,NULL,NULL,"Conceitos e generalidades de bioenergias. Avaliação da matriz energética no Brasil e no mundo. Biomassa e os resíduos agrícolas e agroindustriais. Caracterização das matérias primas para produção de biodiesel. Tecnologias de produção do etanol de 1ª e 2ª geração. Oleaginosas para produção de biocombustíveis. Técnicas para produção de biodiesel. Implicações socioambientais na produção e uso dos biocombustíveis bem como as tecnologias existentes e suas vantagens e desvantagens.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176295,"DISCIPLINA","FIL0001","G","TÓPICOS ESPECIAIS EM FILOSOFIA ORIENTAL","DEPTO FILOSOFIA",60,0,0,60,0,0,20,False,1,NULL,NULL,"((FIL0026))",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176297,"DISCIPLINA","ENM0001","G","CONTROLE DE SISTEMAS MARÍTIMOS","DEPARTAMENTO DE ENGENHARIA MECANICA",60,0,0,60,0,0,20,False,1,NULL,NULL,"((ENM0088) OU (ENE0084) OU (FGA0197))",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176298,"DISCIPLINA","ENM0002","G","INTRODUÇÃO À EXPLORAÇÃO DE PETRÓLEO EM ALTO MAR","DEPARTAMENTO DE ENGENHARIA MECANICA",30,0,0,30,0,0,20,False,1,NULL,"((FGA0175))","((MAT0048) OU (MAT0026))",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176299,"DISCIPLINA","ENM0003","G","FUNDAMENTOS DE ENGENHARIA DE RESERVATÓRIO","DEPARTAMENTO DE ENGENHARIA MECANICA",30,0,0,30,0,0,20,False,1,NULL,NULL,"((ENM0140) OU (ENM0128) OU (FGA0204) OU (ENM0080) OU (IQD0005))",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176300,"DISCIPLINA","PRO0001","G","TRABALHO FINAL DE GRADUAÇÃO EM ARQUITETURA E URBANISMO","DEPTO PROJETOS EXPRES REPRES ARQ E URBAN",0,60,0,60,0,0,20,False,1,NULL,NULL,"((PRO0026 E PRO0021 E TAU0012 E PRO0039 E PRO0047 E IGD0183) OU (PRO0026 E PRO0021 E TAU0001 E PRO0039 E PRO0047 E IGD0183))",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176301,"DISCIPLINA","TEC0001","G","SISTEMAS ESTRUTURAIS EM CONCRETO ARMADO 2","DEPTO TECNOLOGIA ARQUITETURA URBANISMO",30,30,0,60,0,0,20,False,1,NULL,"((TEC0019))","((TEC0041))",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176302,"DISCIPLINA","PRO0002","G","PROJETO DE PAISAGISMO 2","DEPTO PROJETOS EXPRES REPRES ARQ E URBAN",30,30,0,60,0,0,20,False,1,NULL,"( ( PRO0022 ) ) ","( ( PRO0060 ) ) ",NULL,"x",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176304,"DISCIPLINA","GPP0002","G","RESIDÊNCIA EM POLÍTICAS PÚBLICAS","DEPARTAMENTO DE GESTAO DE POLITICAS PUBL",60,60,0,120,0,0,20,False,1,NULL,"(GPP0001)","((GPP0009 E GPP0011))",NULL,"Proporcionar ao estudante um espaço de aprendizagem prático-reflexiva a partir da sua imersão em organizações públicas, sem fins lucrativos ou privadas. A experiência de imersão possibilita a análise dos processos de formulação, implementação e avaliação de uma determinada política pública, promovendo a reflexão sobre a relação Estado e Sociedade, a partir da gestão de políticas públicas. Realizada por meio de duas modalidades: Residência com imersão total, em tempo integral, e Residência com imersão parcial, em meio período diário. Os conteúdos e métodos desta disciplina devem colaborar para a elaboração do Relatório da Residência em Políticas Públicas, do Diário de Campo e para a realização de Seminário final.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176305,"DISCIPLINA","GPP0003","G","RESIDÊNCIA EM POLÍTICAS PÚBLICAS 2","DEPARTAMENTO DE GESTAO DE POLITICAS PUBL",0,60,0,60,0,0,20,False,1,NULL,NULL,"((ADM0198) OU (GPP0009))",NULL,"Proporcionar ao estudante um espaço de aprendizagem prático-reflexiva a partir da sua imersão em organizações públicas, sem fins lucrativos ou privadas. A experiência de imersão possibilita a análise dos processos de formulação, implementação e avaliação de uma determinada política pública, promovendo a reflexão sobre a relação Estado e Sociedade, a partir da gestão de políticas públicas. Realizada por meio de duas modalidades: Residência com imersão total, em tempo integral, e Residência com imersão parcial, em meio período diário. Os conteúdos e métodos desta disciplina devem colaborar para a elaboração do Relatório da Residência em Políticas Públicas, do Diário de Campo e para a realização de Seminário final.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176306,"DISCIPLINA","TEC0002","G","INSTALAÇÕES E EQUIPAMENTOS 1","DEPTO TECNOLOGIA ARQUITETURA URBANISMO",30,0,0,30,0,0,20,False,1,NULL,"((TEC0007))","((PRO0011))",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176307,"DISCIPLINA","TEC0003","G","INSTALAÇÕES E EQUIPAMENTOS 2","DEPTO TECNOLOGIA ARQUITETURA URBANISMO",30,0,0,30,0,0,20,False,1,NULL,"((TEC0007))","((TEC0002))",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176308,"DISCIPLINA","ODT0001","G","USO RACIONAL DE MEDICAMENTOS EM ODONTOLOGIA","DEPTO ODONTOLOGIA",30,0,0,30,0,0,20,False,1,NULL,NULL,"((FAR0031))",NULL,"Conceito e filosofia do uso racional de medicamentos. Busca de informação científica sobre eficácia, segurança e interações medicamentosas. Uso racional de analgésicos, anti-inflamatórios não esteroidais, antimicrobianos e anestésicos locais em Odontologia. Normas de prescrição medicamentosa. Técnica de prescrição medicamentosa.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176309,"DISCIPLINA","ODT0002","G","TÓPICOS COMPLEMENTARES EM PRÓTESE TOTAL REMOVÍVEL","DEPTO ODONTOLOGIA",0,30,0,30,0,0,20,False,1,NULL,NULL,"( ( CFS0037 E ODT0025 ) ) ",NULL,"A disciplina trata de complementar o conteúdo ministrado na Disciplina de Prótese Total Removível, com atividades teóricas, laboratoriais e clínicas. Trata da reabilitação clínica de pacientes desdentados totais, vinculados à disciplina obrigatória anteriormente referida.",NULL,"Capacitar o aluno a:
1.	Reconhecer as características anatômicas do desdentado total;
2.	Traçar um plano de tratamento para reabilitação de desdentado total, com próteses totais removíveis convencionais;
3.	Aplicar os conhecimentos teóricos para reabilitar paciente desdentado total com próteses totais removíveis, em disciplina clínica subsequente.


Objetivos Específicos:
Desenvolver conhecimento científico necessário para o atendimento de pacientes desdentados totais, com finalidade de reabilitação protética.
Aprender a teoria das diversas etapas para a confecção de uma prótese total unimaxilar ou bimaxilar, tais como: moldagens, tomadas de relações intermaxilares, montagem em articulador semi-ajustável, com a finalidade de confeccionar e instalar uma prótese que se integra ao aparelho estomatognático de seu paciente.

","Introdução à reabilitação dos desdentados totais: exame do paciente para dentaduras completas, considerações gerais sobre dentaduras completas, limites da área chapeável, fatores de retenção das dentaduras completas, materiais odontológicos empregados
Técnicas de moldagem: moldagem anatômica, moldeiras individuais, moldagem funcional, modelo funcional
Relações intermaxilares: planos de orientação, obtenção das relações intermaxilares em desdentados totais, seleção de dentes artificiais
Procedimentos laboratoriais: montagem de dentes artificiais, escultura das dentaduras, processos laboratoriais de caracterização e acrilização
Provas e Instalação das próteses totais
Noções de próteses sobre implantes
",NULL,NULL,2021,2,"Presencial",NULL
176310,"DISCIPLINA","ODT0003","G","TÓPICOS COMPLEMENTARES EM PRÓTESE PARCIAL REMOVÍVEL","DEPTO ODONTOLOGIA",0,30,0,30,0,0,20,False,1,NULL,NULL,"( ( ODT0087 E ODT0157 ) OU ( ODT0087 E ODT0160 ) ) ",NULL,"A disciplina de Tópicos Complementares de Prótese Parcial Removível visa realçar as bases dos conhecimentos de disciplinas básicas e desenvolver uma visão interdisciplinar na aplicação de diagnóstico, planejamento e técnica de confecção da prótese parcial removível. A disciplina tem como objetivo demonstrar alterações funcionais, psicológicas e sócio-culturais que se relacionam com a perda parcial dos dentes naturais e tecidos moles da cavidade bucal humana. Propõe uma reabilitação anatômica, funcional, mecânica e psicológica dos indivíduos desdentados parciais, por meio de próteses parciais removíveis.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176313,"DISCIPLINA","FCE0002","G","INTRODUÇÃO AOS CUIDADOS PALIATIVOS","FACULDADE DE CEILÂNDIA",30,0,0,30,0,0,20,False,1,NULL,NULL,NULL,NULL,"Os estudos e as atividades programadas da disciplina abordam os Cuidados Paliativos enquanto filosofia e modelo de assistência a pacientes portadores de doenças graves, em progressão e fora de possibilidade terapêutica de cura. Possibilitará ao o aluno compreender seu papel profissional dentro da perspectiva de Cuidados Paliativos, direcionando seu conhecimento técnico para os objetivos de conforto, bem estar, qualidade de vida com valor e significado, abordando o paciente em todas as dimensões do ser humano e incluindo a atenção à família ao longo do processo de doença e luto.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176314,"DISCIPLINA","FCE0003","G","ESTÁGIO CURRICULAR SUPERVISIONADO EM ENFERMAGEM 2","FACULDADE DE CEILÂNDIA",0,270,0,270,0,0,20,False,1,NULL,NULL,NULL,NULL,"Proporciona uma vivência no gerenciamento do processo de trabalho em enfermagem na atenção secundária e terciária ao cliente, desenvolvendo o compromisso ético, moral e senso crítico frente aos processos administrativos. Frente à realidade epidemiológica analisa e desenvolve a visão integralizada da assistência de enfermagem e educação permanente ao indivíduo, família e comunidade. A Interdisciplinaridade no gerenciamento na atenção secundária e terciária. Fundamentados nos princípios éticos, legais e humanísticos.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176315,"DISCIPLINA","FCE0004","G","INTRODUÇÃO A ANÁLISE E AO APOIO INSTITUCIONAL EM SAÚDE","FACULDADE DE CEILÂNDIA",30,0,0,30,0,0,20,False,1,NULL,NULL,"((FCE0208 E FCE0361) OU (FCE0338) OU (FCE0277) OU (FCE0297) OU (FCE0278))",NULL,"Os estudos e as atividades programadas da disciplina permitirão ao aluno o conhecimento de teorias e modelos de análise e apoio institucional, sendo estes temas discutidos e aplicados na gestão institucional em saúde. Permitirá: o estudo dos conceitos de instituição, trabalho em saúde e subjetividade, coletivos, cotidiano dos serviços/ equipamentos sociais desenvolver a capacidade de compreensão e análise do trabalho e dos fatores institucionais de forma a ampliar a prática profissional/ clínica desenvolver a capacidade de análise nos espaços de trabalho, de forma a priorizar a inclusão dos diferentes agentes implicados no processo de trabalho, disparando a implementação de dispositivos e arranjos no sentido de uma formação-intervenção ampliada, na atuação protagonista de trabalhadores e ressignificação do conhecimento sobre o trabalho.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176316,"DISCIPLINA","SER0001","G","SEGURIDADE SOCIAL 3 - ASSISTÊNCIA SOCIAL","DEPTO SERVIÇO SOCIAL",60,0,0,60,0,0,20,False,1,NULL,NULL,"((SER0015))",NULL,"A trajetória histórica da assistência nas sociedades capitalistas: caridade, humanismo, filantropia, asestratégias de controle dos pobres. A pobreza de massa no capitalismo e as medidas assistenciaisno final do século XIX e início do século XX. A relação entre assistência social e trabalho nocapitalismo. A Origem e Desenvolvimento da Assistência Social no Brasil. O sistema de seguridadesocial instituído na Constituição brasileira de 1988 e seu significado para a política de assistênciasocial. Bases conceituais, legais, princípios e diretrizes da LOAS e Política de Assistência Social. OSistema Único de Assistência Social (SUAS). Natureza e alcance dos direitos e serviços sócioassistenciais estrutura organizacional e mecanismos de gestão funções e beneficiários. Acontribuição do Serviço Social na produção e no redimensionamento do conhecimento teórico-práticada política de assistência social.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176318,"DISCIPLINA","FAC0002","G","TÓPICOS ESPECIAIS EM COMUNICAÇÃO ORGANIZACIONAL 2","FACULDADE DE COMUNICAÇÃO",30,0,0,30,0,0,20,False,1,NULL,"(FAC0001)",NULL,NULL,"EmentaAplicação de diversos temas da área de Comunicação. Atividades direcionadas para: cidadania, cultura, meio ambiente, mídia e política. Realização de eventos acadêmicos na área de Comunicação.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176319,"DISCIPLINA","GEM0001","G","NANOBIOTECNOLOGIA","INSTITUTO DE CIÊNCIAS BIOLÓGICAS",30,0,0,30,0,0,20,False,1,NULL,NULL,"((CEL0054) OU (CEL0077) OU (CEL0067))",NULL,"1. Importância das invasões biológicas no mundo globalizado.2. Características de espécies invasoras. 3. Etapas da invasão: transporte, estabelecimento e dispersão. 	4. Ambientes vulneráveis à invasão. 5. Impactos ecológicos e econômicos das invasões biológicas.6. Estratégias de controle e erradicação das espécies invasoras.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176321,"DISCIPLINA","FAR0001","G","PRÁTICAS EM VIROLOGIA MOLECULAR","DEPARTAMENTO DE FARMACIA",30,60,0,90,0,0,20,False,1,NULL,"( FCS0001 ) ","( ( FAR0124 ) OU ( FAR0142 ) OU ( CEL0054 ) OU ( CEL0050 ) ) ",NULL,"a definir",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176322,"DISCIPLINA","IQD0003","G","INTRODUÇÃO À COMPUTAÇÃO APLICADA AOS PROCESSOS QUÍMICOS","INSTITUTO DE QUÍMICA",30,30,0,60,0,0,20,False,1,NULL,NULL,NULL,NULL,"Linguagens e ambientes de Programação - Características gerais da construção de algoritmos e estrutura de dados. Aplicação de programação em problemas envolvendo balanços materiais, de movimento e de energia. Desenvolvimento de programas computacionais para resolução problemas em diferentes graus de complexibilidade. Fundamentos de programação e uso de software computacional.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176325,"DISCIPLINA","HIS0003","G","TRABALHO DE CONCLUSÃO DE CURSO 1","DEPTO HISTÓRIA",0,60,0,60,0,0,20,False,1,NULL,"( ( HIS0001 ) OU ( HIS0002 ) OU ( HIS0034 ) OU ( HIS0214 ) ) ","( ( HIS0115 ) ) ",NULL,"A montagem do projeto de pesquisa. O objeto: o recorte específico do tema. O(s) argumento(s) norteador(es). A formulação das problematizações/hipóteses o quadro referencial: diálogo com a bibliografia temática, contextual, teórica e metodológica a definição das fontes documentais.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176327,"DISCIPLINA","HIS0005","G","TÓPICO DE METODOLOGIA DE HISTÓRIA SOCIAL","DEPTO HISTÓRIA",45,15,0,60,0,0,20,False,1,NULL,"(HIS0004)","((HIS0084))",NULL,"A disciplina, restrita aos alunos e professores que integram a linha de pesquisa História Social e suas Múltiplas Formas, tem dois objetivos centrais: 1) discutir coletivamente os projetos de pesquisas dos discentes da linha de pesquisa, capítulos de teses e dissertações em andamento, bem como a demais produção dos participantes da linha 2) discutir coletivamente textos pertinentes aos projetos de pesquisa em andamento, bem como bibliografia clássica e mais recente da história social. Por estes objetivos, a disciplina, no lugar de aulas em estilo tradicional, terá a forma de encontros para discussões de textos, cabendo sempre a um ou mais alunos a responsabilidade de dar início ao debate. A seleção dos textos a serem debatidos na disciplina será feita no primeiro encontro.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176329,"DISCIPLINA","HIS0007","G","PRÁTICA DE ENSINO DE HISTÓRIA 2","DEPTO HISTÓRIA",0,165,0,165,0,0,20,False,1,NULL,NULL,"((HIS0084))",NULL,"Leis n. 10.639/03 e n. 11.645/08: desafios e perspectivas no Ensino de História Africana, Afro-brasileira e Indígena. Cidadania, Identidades e Memórias no Ensino de História. Educação para os direitos humanos no Ensino de História. Gênero e sexualidades no Ensino de História. Perspectivas decoloniais e outras epistemologias no ensino de história. Estágio Curricular Supervisionado em escola de níveis Fundamental (série finais), Médio ou EJA, para estudantes do curso de licenciatura em História. Desenvolvimento de pesquisa-ação participativa e colaborativa em processos de ensino-aprendizagem da História em escolas do DF e Entorno, com foco na educação das relações étnico-raciais e de gênero.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
176330,"DISCIPLINA","FAV0002","G","GESTÃO DE RESÍDUOS AGROINDUSTRIAIS","FACULDADE DE AGRONOMIA E MEDICINA VETERINÁRIA",60,0,0,60,0,0,20,False,1,NULL,NULL,"((FUP0411))",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
